Name,URL
The Last Samurai,letterboxd.com/film/the-last-samurai/
Kingdom of Heaven,letterboxd.com/film/kingdom-of-heaven/
Seven Dwarfs,letterboxd.com/film/seven-dwarfs/
The Holy Mountain,letterboxd.com/film/the-holy-mountain/
Brazil,letterboxd.com/film/brazil/
Who Killed Captain Alex?,letterboxd.com/film/who-killed-captain-alex/
Fargo,letterboxd.com/film/fargo/
Fucking Berlin,letterboxd.com/film/fucking-berlin/
The Rocky Horror Picture Show,letterboxd.com/film/the-rocky-horror-picture-show/
Shrek Retold,letterboxd.com/film/shrek-retold/
The Lighthouse,letterboxd.com/film/the-lighthouse-2019/
Grease,letterboxd.com/film/grease/
Uncut Gems,letterboxd.com/film/uncut-gems/
The Twelve Tasks of Asterix,letterboxd.com/film/the-twelve-tasks-of-asterix/
Asterix and Cleopatra,letterboxd.com/film/asterix-and-cleopatra/
Payback,letterboxd.com/film/payback/
Rascal Does Not Dream of a Dreaming Girl,letterboxd.com/film/rascal-does-not-dream-of-a-dreaming-girl/
Victoria,letterboxd.com/film/victoria-2015/
"Aguirre, the Wrath of God",letterboxd.com/film/aguirre-the-wrath-of-god/
Fitzcarraldo,letterboxd.com/film/fitzcarraldo/
For a Few Dollars More,letterboxd.com/film/for-a-few-dollars-more/
Nosferatu the Vampyre,letterboxd.com/film/nosferatu-the-vampyre/
Les Misérables,letterboxd.com/film/les-miserables-2019/
"Synecdoche, New York",letterboxd.com/film/synecdoche-new-york/
Get Out,letterboxd.com/film/get-out-2017/
Marriage Story,letterboxd.com/film/marriage-story-2019/
Ran,letterboxd.com/film/ran/
The King of Comedy,letterboxd.com/film/the-king-of-comedy/
The Irishman,letterboxd.com/film/the-irishman-2019/
The Climb,letterboxd.com/film/the-climb-2019/
I Lost My Body,letterboxd.com/film/i-lost-my-body/
As It Is in Heaven,letterboxd.com/film/as-it-is-in-heaven/
The Golden Glove,letterboxd.com/film/the-golden-glove/
Hotarubi no Mori e,letterboxd.com/film/hotarubi-no-mori-e/
Birdemic: Shock and Terror,letterboxd.com/film/birdemic-shock-and-terror/
My Sex Robot,letterboxd.com/film/my-sex-robot/
Hollow Man,letterboxd.com/film/hollow-man/
Finding Nemo,letterboxd.com/film/finding-nemo/
Bambi,letterboxd.com/film/bambi/
Howl's Moving Castle,letterboxd.com/film/howls-moving-castle/
Kiki's Delivery Service,letterboxd.com/film/kikis-delivery-service/
Aladdin,letterboxd.com/film/aladdin/
The Hunchback of Notre Dame,letterboxd.com/film/the-hunchback-of-notre-dame-1996/
Castle in the Sky,letterboxd.com/film/castle-in-the-sky/
Punch-Drunk Love,letterboxd.com/film/punch-drunk-love/
Drive,letterboxd.com/film/drive-2011/
AlphaGo,letterboxd.com/film/alphago/
"Sherlock, Jr.",letterboxd.com/film/sherlock-jr/
Watchmen,letterboxd.com/film/watchmen/
Stripes,letterboxd.com/film/stripes/
Once Upon a Time in Venice,letterboxd.com/film/once-upon-a-time-in-venice/
Death at a Funeral,letterboxd.com/film/death-at-a-funeral/
Metropolis,letterboxd.com/film/metropolis/
The Jungle Book,letterboxd.com/film/the-jungle-book/
Once Upon a Time in America,letterboxd.com/film/once-upon-a-time-in-america/
Waking Ned,letterboxd.com/film/waking-ned/
Night on Earth,letterboxd.com/film/night-on-earth/
Cat Ballou,letterboxd.com/film/cat-ballou/
Xaver und sein außerirdischer Freund,letterboxd.com/film/xaver-und-sein-auerirdischer-freund/
Superbad,letterboxd.com/film/superbad/
Battle Royale,letterboxd.com/film/battle-royale/
Breakfast at Tiffany's,letterboxd.com/film/breakfast-at-tiffanys/
Judgment at Nuremberg,letterboxd.com/film/judgment-at-nuremberg/
Armageddon,letterboxd.com/film/armageddon/
Happiness,letterboxd.com/film/happiness/
My Best Fiend,letterboxd.com/film/my-best-fiend/
House,letterboxd.com/film/house/
Eyes Wide Shut,letterboxd.com/film/eyes-wide-shut/
Adaptation.,letterboxd.com/film/adaptation/
Adrift in Tokyo,letterboxd.com/film/adrift-in-tokyo/
8½,letterboxd.com/film/8-half/
All About Lily Chou-Chou,letterboxd.com/film/all-about-lily-chou-chou/
Blind Chance,letterboxd.com/film/blind-chance/
Being John Malkovich,letterboxd.com/film/being-john-malkovich/
Confessions of a Dangerous Mind,letterboxd.com/film/confessions-of-a-dangerous-mind/
From Russia with Love,letterboxd.com/film/from-russia-with-love/
Duck Amuck,letterboxd.com/film/duck-amuck/
"Love, Death & Robots: The Witness",letterboxd.com/film/love-death-robots-the-witness/
"Love, Death & Robots: Good Hunting",letterboxd.com/film/love-death-robots-good-hunting/
"Love, Death & Robots: Zima Blue",letterboxd.com/film/love-death-robots-zima-blue/
"Love, Death & Robots: Alternate Histories",letterboxd.com/film/love-death-robots-alternate-histories/
"Love, Death & Robots: When the Yogurt Took Over",letterboxd.com/film/love-death-robots-when-the-yogurt-took-over/
Pride & Prejudice,letterboxd.com/film/pride-prejudice/
The Perks of Being a Wallflower,letterboxd.com/film/the-perks-of-being-a-wallflower/
It's Such a Beautiful Day,letterboxd.com/film/its-such-a-beautiful-day/
The Wind Rises,letterboxd.com/film/the-wind-rises/
Mon Mon the Water Spider,letterboxd.com/film/mon-mon-the-water-spider/
The Running Jumping & Standing Still Film,letterboxd.com/film/the-running-jumping-standing-still-film/
Chungking Express,letterboxd.com/film/chungking-express/
Eraserhead,letterboxd.com/film/eraserhead/
Graffiti Wars,letterboxd.com/film/graffiti-wars/
Rampage: Capital Punishment,letterboxd.com/film/rampage-capital-punishment/
Blubberella,letterboxd.com/film/blubberella/
Follow Me,letterboxd.com/film/follow-me/
The Girl Who Leapt Through Time,letterboxd.com/film/the-girl-who-leapt-through-time/
Look Who's Back,letterboxd.com/film/look-whos-back-2015/
Casablanca,letterboxd.com/film/casablanca/
Magnolia,letterboxd.com/film/magnolia/
Berlin Alexanderplatz,letterboxd.com/film/berlin-alexanderplatz/
Machotaildrop,letterboxd.com/film/machotaildrop/
Piper,letterboxd.com/film/piper/
It's Such a Beautiful Day,letterboxd.com/film/its-such-a-beautiful-day-2011/
I Am Twenty,letterboxd.com/film/i-am-twenty/
A Fistful of Dollars,letterboxd.com/film/a-fistful-of-dollars/
Throne of Blood,letterboxd.com/film/throne-of-blood/
unReal,letterboxd.com/film/unreal-2015/
Good Time,letterboxd.com/film/good-time/
A Silent Voice,letterboxd.com/film/a-silent-voice/
Memories of Murder,letterboxd.com/film/memories-of-murder/
Still Walking,letterboxd.com/film/still-walking/
Burning,letterboxd.com/film/burning-2018/
Let Your Light Shine,letterboxd.com/film/let-your-light-shine/
Light Thereafter,letterboxd.com/film/light-thereafter/
American Animals,letterboxd.com/film/american-animals/
Bogus,letterboxd.com/film/bogus/
The Lawnmower Man,letterboxd.com/film/the-lawnmower-man/
Lawnmower Man 2: Beyond Cyberspace,letterboxd.com/film/lawnmower-man-2-beyond-cyberspace/
Double Down,letterboxd.com/film/double-down-2005/
Enter the Anime,letterboxd.com/film/enter-the-anime/
Midnight Cowboy,letterboxd.com/film/midnight-cowboy/
Vampire's Kiss,letterboxd.com/film/vampires-kiss/
Kung Fury,letterboxd.com/film/kung-fury/
Climax,letterboxd.com/film/climax-2018/
The Mask,letterboxd.com/film/the-mask-1994/
Madagascar,letterboxd.com/film/madagascar/
FRED: The Movie,letterboxd.com/film/fred-the-movie/
Llamas with Hats,letterboxd.com/film/llamas-with-hats/
#Introductions,letterboxd.com/film/introductions/
Star War The Third Gathers: Backstroke of the West,letterboxd.com/film/star-war-the-third-gathers-backstroke-of-the-west/
Bad Trip,letterboxd.com/film/bad-trip-2020/
The Penny Market on the Reeperbahn,letterboxd.com/film/the-penny-market-on-the-reeperbahn/
mother!,letterboxd.com/film/mother-2017/
The Look of Silence,letterboxd.com/film/the-look-of-silence/
The Act of Killing,letterboxd.com/film/the-act-of-killing/
Nazis at the Center of the Earth,letterboxd.com/film/nazis-at-the-center-of-the-earth/
Stalker,letterboxd.com/film/stalker/
Mirror,letterboxd.com/film/mirror/
Solaris,letterboxd.com/film/solaris/
The Hero of Time,letterboxd.com/film/the-hero-of-time/
Satantango,letterboxd.com/film/satantango/
The Meyerowitz Stories (New and Selected),letterboxd.com/film/the-meyerowitz-stories-new-and-selected/
Fantastic Mr. Fox,letterboxd.com/film/fantastic-mr-fox/
La Flor,letterboxd.com/film/la-flor/
Hercules in New York,letterboxd.com/film/hercules-in-new-york/
Eat Pray Love,letterboxd.com/film/eat-pray-love/
Roma,letterboxd.com/film/roma-2018/
Saturday Night Fever,letterboxd.com/film/saturday-night-fever/
Happy Gilmore,letterboxd.com/film/happy-gilmore/
At Eternity's Gate,letterboxd.com/film/at-eternitys-gate/
Eighth Grade,letterboxd.com/film/eighth-grade/
Mega Shark vs. Giant Octopus,letterboxd.com/film/mega-shark-vs-giant-octopus/
Anomalisa,letterboxd.com/film/anomalisa/
Loving Vincent,letterboxd.com/film/loving-vincent/
The Elephant Man,letterboxd.com/film/the-elephant-man/
365 Days,letterboxd.com/film/365-days-2020/
Fateful Findings,letterboxd.com/film/fateful-findings/
Artemis Fowl,letterboxd.com/film/artemis-fowl/
Triumph of the Will,letterboxd.com/film/triumph-of-the-will/
"Daniel, the Wizard",letterboxd.com/film/daniel-the-wizard/
Ratatoing,letterboxd.com/film/ratatoing/
Treevenge,letterboxd.com/film/treevenge/
